ISIN,coupon,close_price,issue_date,maturity_data,date
CA135087K528,0.01 ,95.59,10/11/2019,3/1/2025,1/19/2023
CA135087K528,0.01 ,95.44,10/11/2019,3/1/2025,1/20/2023
CA135087K528,0.01 ,95.38,10/11/2019,3/1/2025,1/23/2023
CA135087K528,0.01 ,95.34,10/11/2019,3/1/2025,1/24/2023
CA135087K528,0.01 ,95.47,10/11/2019,3/1/2025,1/25/2023
CA135087K528,0.01 ,95.5,10/11/2019,3/1/2025,1/26/2023
CA135087K528,0.01 ,95.3,10/11/2019,3/1/2025,1/27/2023
CA135087K940,0.01 ,92.74,4/3/2020,9/1/2025,1/16/2023
CA135087K940,0.01 ,92.75,4/3/2020,9/1/2025,1/17/2023
CA135087K940,0.01 ,93.03,4/3/2020,9/1/2025,1/18/2023
CA135087K940,0.01 ,93.03,4/3/2020,9/1/2025,1/19/2023
CA135087K940,0.01 ,92.87,4/3/2020,9/1/2025,1/20/2023
CA135087K940,0.01 ,92.82,4/3/2020,9/1/2025,1/23/2023
CA135087K940,0.01 ,92.81,4/3/2020,9/1/2025,1/24/2023
CA135087K940,0.01 ,92.97,4/3/2020,9/1/2025,1/25/2023
CA135087K940,0.01 ,93,4/3/2020,9/1/2025,1/26/2023
CA135087K940,0.01 ,92.72,4/3/2020,9/1/2025,1/27/2023
CA135087L518,0.00 ,91.08,10/9/2020,3/1/2026,1/16/2023
CA135087L518,0.00 ,91.19,10/9/2020,3/1/2026,1/17/2023
CA135087L518,0.00 ,91.43,10/9/2020,3/1/2026,1/18/2023
CA135087L518,0.00 ,91.51,10/9/2020,3/1/2026,1/19/2023
CA135087L518,0.00 ,91.32,10/9/2020,3/1/2026,1/20/2023
CA135087L518,0.00 ,91.23,10/9/2020,3/1/2026,1/23/2023
CA135087L518,0.00 ,91.21,10/9/2020,3/1/2026,1/24/2023
CA135087L518,0.00 ,91.41,10/9/2020,3/1/2026,1/25/2023
CA135087L518,0.00 ,91.45,10/9/2020,3/1/2026,1/26/2023
CA135087L518,0.00 ,91.17,10/9/2020,3/1/2026,1/27/2023
CA135087L930,0.01 ,92.72,4/16/2021,9/1/2026,1/16/2023
CA135087L930,0.01 ,92.84,4/16/2021,9/1/2026,1/17/2023
CA135087L930,0.01 ,93.24,4/16/2021,9/1/2026,1/18/2023
CA135087L930,0.01 ,93.29,4/16/2021,9/1/2026,1/19/2023
CA135087L930,0.01 ,92.95,4/16/2021,9/1/2026,1/20/2023
CA135087L930,0.01 ,92.9,4/16/2021,9/1/2026,1/23/2023
CA135087L930,0.01 ,92.91,4/16/2021,9/1/2026,1/24/2023
CA135087L930,0.01 ,93.05,4/16/2021,9/1/2026,1/25/2023
CA135087L930,0.01 ,93.04,4/16/2021,9/1/2026,1/26/2023
CA135087L930,0.01 ,92.77,4/16/2021,9/1/2026,1/27/2023
CA135087M847,0.01 ,93.14,10/15/2021,3/1/2027,1/16/2023
CA135087M847,0.01 ,93.25,10/15/2021,3/1/2027,1/17/2023
CA135087M847,0.01 ,93.73,10/15/2021,3/1/2027,1/18/2023
CA135087M847,0.01 ,93.78,10/15/2021,3/1/2027,1/19/2023
CA135087M847,0.01 ,93.39,10/15/2021,3/1/2027,1/20/2023
CA135087M847,0.01 ,93.33,10/15/2021,3/1/2027,1/23/2023
CA135087M847,0.01 ,93.35,10/15/2021,3/1/2027,1/24/2023
CA135087M847,0.01 ,93.5,10/15/2021,3/1/2027,1/25/2023
CA135087M847,0.01 ,93.46,10/15/2021,3/1/2027,1/26/2023
CA135087M847,0.01 ,93.14,10/15/2021,3/1/2027,1/27/2023
CA135087N837,0.03 ,99.1,5/13/2022,9/1/2027,1/16/2023
CA135087N837,0.03 ,99.22,5/13/2022,9/1/2027,1/17/2023
CA135087N837,0.03 ,99.71,5/13/2022,9/1/2027,1/18/2023
CA135087N837,0.03 ,99.71,5/13/2022,9/1/2027,1/19/2023
CA135087N837,0.03 ,99.24,5/13/2022,9/1/2027,1/20/2023
CA135087N837,0.03 ,99.14,5/13/2022,9/1/2027,1/23/2023
CA135087N837,0.03 ,99.15,5/13/2022,9/1/2027,1/24/2023
CA135087N837,0.03 ,99.29,5/13/2022,9/1/2027,1/25/2023
CA135087N837,0.03 ,99.24,5/13/2022,9/1/2027,1/26/2023
CA135087N837,0.03 ,98.86,5/13/2022,9/1/2027,1/27/2023
